claim_id,customer_age,policy_tenure_years,claim_amount,claim_duration_days,claim_type,anomaly
1,56,7.7,36558.0,41,Health,0
2,69,8.1,56228.93,25,Vehicle,0
3,46,10.6,77496.94,44,Property,0
4,32,7.9,74220.69,50,Vehicle,0
5,60,6.5,118726.18,47,Vehicle,0
6,25,14.9,13602.29,14,Health,0
7,78,2.6,56204.1,45,Health,0
8,38,9.1,53868.6,31,Vehicle,0
9,56,13.3,51069.2,20,Vehicle,0
10,75,10.5,90149.8,37,Property,0
11,36,13.3,78340.65,58,Health,0
12,40,5.4,83660.66,33,Health,0
13,28,4.4,151674.12,14,Health,0
14,28,12.8,109208.96,32,Vehicle,0
15,41,6.2,48425.65,18,Property,0
16,70,10.8,16051.56,4,Health,0
17,53,2.6,181993.44,12,Health,0
18,57,11.5,94485.72,51,Health,0
19,41,8.5,97395.37,53,Health,0
20,20,4.4,50915.67,19,Vehicle,0
21,39,7.7,133233.62,47,Property,0
22,70,10.6,90714.15,40,Property,0
23,19,0.7,86128.62,36,Vehicle,0
24,41,9.7,13398.0,17,Vehicle,0
25,61,8.4,66378.84,44,Health,0
26,47,3.7,29436.66,44,Health,0
27,55,11.4,29986.24,14,Vehicle,0
28,19,4.9,57932.91,18,Health,0
29,77,4.5,44280.11,22,Vehicle,0
30,38,7.3,12674.37,25,Vehicle,0
31,50,10.3,88902.49,42,Vehicle,0
32,29,14.0,98490.91,9,Vehicle,0
33,75,2.5,45932.37,53,Vehicle,0
34,39,6.2,97181.4,20,Health,0
35,78,1.5,44313.32,54,Vehicle,0
36,61,11.5,177713.02,52,Property,0
37,42,7.0,34353.98,15,Vehicle,0
38,66,10.8,19060.64,36,Property,0
39,44,5.2,132137.29,46,Health,0
40,76,12.7,48586.72,4,Health,0
41,59,8.3,36336.97,4,Vehicle,0
42,45,14.2,43530.89,59,Vehicle,0
43,77,1.6,132211.12,56,Health,0
44,33,8.0,22631.18,8,Health,0
45,32,11.6,51953.46,34,Vehicle,0
46,79,9.2,47339.82,33,Property,0
47,79,0.8,63348.01,51,Health,0
48,64,14.6,33759.6,45,Health,0
49,79,4.8,151364.99,48,Vehicle,0
50,68,4.1,45089.42,31,Property,0
51,61,7.5,71437.55,57,Vehicle,0
52,72,8.4,35889.73,48,Vehicle,0
53,69,11.6,75657.96,37,Vehicle,0
54,74,6.2,202649.0253272119,40,Vehicle,1
55,20,6.9,87454.67,59,Vehicle,0
56,54,8.3,25463.95,12,Property,0
57,68,6.2,88227.86,37,Property,0
58,24,13.8,77262.1,10,Health,0
59,38,12.8,54755.29,13,Vehicle,0
60,26,7.1,90044.39,5,Health,0
61,56,0.5,115909.79,1,Vehicle,0
